Promotion_ID,Campaign_ID,Promotion_Name,Promotion_Type,Promo_Code,Start_Date,End_Date,Created_At
PROMO_27a0,CMP_27a04800-f37b-4c5a-9dd4-d99dac80729b,Couple Bedding Bundle,Bundle Offer,LOVE2022,2022-01-27,2022-02-15,2022-01-01
PROMO_6ee7,CMP_6ee75b1e-1178-4e38-b686-bd28ca80fae5,Summer Mattress Savings,Percentage Discount,SUMMER2022,2022-02-27,2022-03-15,2022-01-01
PROMO_45de,CMP_45de4bf8-0900-4b1f-a945-b5415cc3f97d,Songkran Free Shipping,Free Shipping,SONGKRAN2022,2022-03-27,2022-04-15,2022-01-01
PROMO_2df5,CMP_2df5c552-b05a-4ccb-aa05-1f5fe88049a9,Mid-Year Mega Discount,Percentage Discount,MIDYEAR2022,2022-04-27,2022-05-15,2022-01-01
PROMO_f6cb,CMP_f6cbaf6d-2def-4c04-9821-b2ef3837fd39,Nationwide Free Shipping,Free Shipping,FREESHIP2022,2022-05-27,2022-06-15,2022-01-01
PROMO_2449,CMP_2449e4a8-9bb0-4bbb-9f86-62293a4718d7,Rainy Season Voucher,Voucher Code,RAINY2022,2022-06-27,2022-07-15,2022-01-01
PROMO_6141,CMP_6141faab-01bd-4e02-8862-534c7b24897f,Sleep Better Bundle,Bundle Offer,SLEEP2022,2022-07-27,2022-08-15,2022-01-01
PROMO_4a29,CMP_4a29a251-495a-4724-9e1c-07dfa74224c7,Student Savings Offer,Fixed Discount,SCHOOL2022,2022-08-27,2022-09-15,2022-01-01
PROMO_c645,CMP_c645e850-ff9f-4fbd-a9bc-c96d497f0599,10.10 Flash Sale,Flash Sale,10102022,2022-09-27,2022-10-15,2022-01-01
PROMO_d278,CMP_d278948a-e037-4b8c-995d-63a7e75ca25b,11.11 Mega Discount,Percentage Discount,11112022,2022-10-27,2022-11-15,2022-01-01
PROMO_87ca,CMP_87ca8fd0-91c4-4afe-a6f5-d812e38e9c35,Holiday Bundle Offer,Bundle Offer,HOLIDAY2022,2022-11-27,2022-12-15,2022-01-01
PROMO_2397,CMP_23973884-6078-4964-9825-0aaf0e4b03a1,New Year Mattress Discount,Percentage Discount,NEWYEAR2023,2023-12-27,2024-01-15,2023-01-01
PROMO_4e8b,CMP_4e8b8809-ee3c-4c69-9a04-a65f9b8a3f86,Couple Bedding Bundle,Bundle Offer,LOVE2023,2023-01-27,2023-02-15,2023-01-01
PROMO_17f5,CMP_17f531cf-129c-4abd-b4c7-b11053a1bc88,Summer Mattress Savings,Percentage Discount,SUMMER2023,2023-02-27,2023-03-15,2023-01-01
PROMO_e8c9,CMP_e8c93f0c-b776-426c-8cee-f664f45eb3f2,Songkran Free Shipping,Free Shipping,SONGKRAN2023,2023-03-27,2023-04-15,2023-01-01
PROMO_2724,CMP_2724972a-7d59-484e-bec3-edced6c94487,Mid-Year Mega Discount,Percentage Discount,MIDYEAR2023,2023-04-27,2023-05-15,2023-01-01
PROMO_e207,CMP_e207fb5c-51ea-4f29-ba1a-5ab84bffe7d1,Nationwide Free Shipping,Free Shipping,FREESHIP2023,2023-05-27,2023-06-15,2023-01-01
PROMO_3807,CMP_3807e480-5df0-4383-8041-b6f9239de088,Rainy Season Voucher,Voucher Code,RAINY2023,2023-06-27,2023-07-15,2023-01-01
PROMO_f406,CMP_f4063608-f6a4-4c2b-8c18-1d838ffd6333,Sleep Better Bundle,Bundle Offer,SLEEP2023,2023-07-27,2023-08-15,2023-01-01
PROMO_d3de,CMP_d3de81f0-7c72-4111-988a-7f20f67da774,Student Savings Offer,Fixed Discount,SCHOOL2023,2023-08-27,2023-09-15,2023-01-01
PROMO_5144,CMP_51449e66-f667-4ef5-af52-e42936f29cb7,10.10 Flash Sale,Flash Sale,10102023,2023-09-27,2023-10-15,2023-01-01
PROMO_239e,CMP_239e830b-12c4-4b99-8b93-5a7d02389e90,11.11 Mega Discount,Percentage Discount,11112023,2023-10-27,2023-11-15,2023-01-01
PROMO_5ab8,CMP_5ab8e4e6-99d9-453c-8c6a-b934ad40275b,Holiday Bundle Offer,Bundle Offer,HOLIDAY2023,2023-11-27,2023-12-15,2023-01-01
PROMO_18f8,CMP_18f87654-aeb2-4992-bc82-7db3fb91178e,New Year Mattress Discount,Percentage Discount,NEWYEAR2024,2024-12-27,2025-01-15,2024-01-01
PROMO_2f24,CMP_2f243680-e1c2-4125-9707-9332cfcb2a53,Couple Bedding Bundle,Bundle Offer,LOVE2024,2024-01-27,2024-02-15,2024-01-01
PROMO_d846,CMP_d846d9d8-e298-4264-b21a-bdc9f3f00e16,Summer Mattress Savings,Percentage Discount,SUMMER2024,2024-02-27,2024-03-15,2024-01-01
PROMO_8a26,CMP_8a26e09f-a3e8-4276-95ee-13a581f55632,Songkran Free Shipping,Free Shipping,SONGKRAN2024,2024-03-27,2024-04-15,2024-01-01
PROMO_b097,CMP_b097318b-064e-4e26-9a9e-2f82c4e9258d,Mid-Year Mega Discount,Percentage Discount,MIDYEAR2024,2024-04-27,2024-05-15,2024-01-01
PROMO_67d1,CMP_67d14a81-68b2-4af1-9a80-c8098652e61d,Nationwide Free Shipping,Free Shipping,FREESHIP2024,2024-05-27,2024-06-15,2024-01-01
PROMO_aa0f,CMP_aa0fd228-31bd-498c-8c79-4beec9b813fe,Rainy Season Voucher,Voucher Code,RAINY2024,2024-06-27,2024-07-15,2024-01-01
PROMO_5d3d,CMP_5d3da4b2-38f4-4641-a1b9-ceacd616be93,Sleep Better Bundle,Bundle Offer,SLEEP2024,2024-07-27,2024-08-15,2024-01-01
PROMO_f732,CMP_f73236d8-8ce8-4914-aa38-f8c1761eb394,Student Savings Offer,Fixed Discount,SCHOOL2024,2024-08-27,2024-09-15,2024-01-01
PROMO_3481,CMP_3481ae00-b8a3-42b1-abe8-73c24ff7939c,10.10 Flash Sale,Flash Sale,10102024,2024-09-27,2024-10-15,2024-01-01
PROMO_f078,CMP_f0781573-fde2-46ac-a427-1593cd826f97,11.11 Mega Discount,Percentage Discount,11112024,2024-10-27,2024-11-15,2024-01-01
PROMO_b22a,CMP_b22a1463-ec5d-4571-bf94-6ffe68a1a3fc,Holiday Bundle Offer,Bundle Offer,HOLIDAY2024,2024-11-27,2024-12-15,2024-01-01
PROMO_8a5d,CMP_8a5d1c4b-cc98-451a-a439-d86498f5a5d7,New Year Mattress Discount,Percentage Discount,NEWYEAR2025,2025-12-27,2026-01-15,2025-01-01
PROMO_115c,CMP_115c61c0-73d2-47c8-9574-7a112de64209,Couple Bedding Bundle,Bundle Offer,LOVE2025,2025-01-27,2025-02-15,2025-01-01
PROMO_56ac,CMP_56acd112-a311-445a-8b0a-3770c326d135,Summer Mattress Savings,Percentage Discount,SUMMER2025,2025-02-27,2025-03-15,2025-01-01
PROMO_3076,CMP_3076c13b-96e5-4858-93f3-eef42f6a8d8e,Songkran Free Shipping,Free Shipping,SONGKRAN2025,2025-03-27,2025-04-15,2025-01-01
PROMO_662f,CMP_662f369a-d94a-42d7-85a6-9e32c4be2c7f,Mid-Year Mega Discount,Percentage Discount,MIDYEAR2025,2025-04-27,2025-05-15,2025-01-01
PROMO_a442,CMP_a442d18b-176b-44fd-899b-723d09ba5858,Nationwide Free Shipping,Free Shipping,FREESHIP2025,2025-05-27,2025-06-15,2025-01-01
PROMO_3050,CMP_30508d0e-00e6-4560-a624-db3e4e734633,Rainy Season Voucher,Voucher Code,RAINY2025,2025-06-27,2025-07-15,2025-01-01
PROMO_31e6,CMP_31e638c0-cf96-4202-b68e-bc74de6e3037,Sleep Better Bundle,Bundle Offer,SLEEP2025,2025-07-27,2025-08-15,2025-01-01
PROMO_21df,CMP_21df41c6-8fc2-4089-b0ea-2a57c90a3dcd,Student Savings Offer,Fixed Discount,SCHOOL2025,2025-08-27,2025-09-15,2025-01-01
PROMO_98d4,CMP_98d4835f-763d-4475-a935-5f28513b6eff,10.10 Flash Sale,Flash Sale,10102025,2025-09-27,2025-10-15,2025-01-01
PROMO_d1d6,CMP_d1d699cd-d1d7-4cf7-ad2e-6dc211a55d13,11.11 Mega Discount,Percentage Discount,11112025,2025-10-27,2025-11-15,2025-01-01
PROMO_b87f,CMP_b87f989b-bfc1-4323-af78-8fa334478825,Holiday Bundle Offer,Bundle Offer,HOLIDAY2025,2025-11-27,2025-12-15,2025-01-01
PROMO_f3ad,CMP_f3ad3617-2867-44ae-b15a-5f2556261fca,Couple Bedding Bundle,Bundle Offer,LOVE2026,2026-01-27,2026-02-15,2026-01-01
PROMO_cfd7,CMP_cfd70e82-4fe9-4a11-a470-0f7962024c48,Summer Mattress Savings,Percentage Discount,SUMMER2026,2026-02-27,2026-03-15,2026-01-01
PROMO_82d7,CMP_82d771fc-09a3-441c-9de0-9fd1f0da6a60,Songkran Free Shipping,Free Shipping,SONGKRAN2026,2026-03-27,2026-04-15,2026-01-01
PROMO_9ebb,CMP_9ebb6837-6c9f-4f9e-8cf8-8e705a58949d,Mid-Year Mega Discount,Percentage Discount,MIDYEAR2026,2026-04-27,2026-05-15,2026-01-01
PROMO_9781,CMP_9781a84a-027f-43bc-8cdb-aa5c8286aec3,Nationwide Free Shipping,Free Shipping,FREESHIP2026,2026-05-27,2026-06-15,2026-01-01
