Campaign_ID,Campaign_Name,Start_Date,End_Date,Budget,Target_Audience,Region,Status,Created_At
CMP_c645e850-ff9f-4fbd-a9bc-c96d497f0599,10.10 Flash Sale,2022-09-24,2022-10-17,49000,Budget Shoppers,Nation Wide,Completed,2022-01-01
CMP_d278948a-e037-4b8c-995d-63a7e75ca25b,11.11 Mega Sale,2022-10-24,2022-11-17,49000,All Customers,Nation Wide,Completed,2022-01-01
CMP_87ca8fd0-91c4-4afe-a6f5-d812e38e9c35,Holiday Bundle Promotion,2022-11-24,2022-12-17,49000,New Homeowners,Nation Wide,Completed,2022-01-01
CMP_23973884-6078-4964-9825-0aaf0e4b03a1,New Year Bedroom Refresh,2023-12-24,2024-01-17,49000,All Customers,Nation Wide,Completed,2023-01-01
CMP_4e8b8809-ee3c-4c69-9a04-a65f9b8a3f86,Valentine Bedding Bundle,2023-01-24,2023-02-17,33000,Couples,Nation Wide,Completed,2023-01-01
CMP_17f531cf-129c-4abd-b4c7-b11053a1bc88,Summer Mattress Sale,2023-02-24,2023-03-17,33000,Families,Nation Wide,Completed,2023-01-01
CMP_e8c93f0c-b776-426c-8cee-f664f45eb3f2,Happy Songkran,2023-03-24,2023-04-17,33000,All Customers,Nation Wide,Completed,2023-01-01
CMP_2724972a-7d59-484e-bec3-edced6c94487,Mid-Year Mega Discount,2023-04-24,2023-05-17,33000,Budget Shoppers,Nation Wide,Completed,2023-01-01
CMP_e207fb5c-51ea-4f29-ba1a-5ab84bffe7d1,Free Shipping Month,2023-05-24,2023-06-17,66000,Existing Customers,Nation Wide,Completed,2023-01-01
CMP_3807e480-5df0-4383-8041-b6f9239de088,Rainy Season Bedding Deals,2023-06-24,2023-07-17,66000,Existing Customers,Nation Wide,Completed,2023-01-01
CMP_f4063608-f6a4-4c2b-8c18-1d838ffd6333,Sleep Better Campaign,2023-07-24,2023-08-17,66000,All Customers,Nation Wide,Completed,2023-01-01
CMP_d3de81f0-7c72-4111-988a-7f20f67da774,Back to School Home Essentials,2023-08-24,2023-09-17,66000,Students,Nation Wide,Completed,2023-01-01
CMP_51449e66-f667-4ef5-af52-e42936f29cb7,10.10 Flash Sale,2023-09-24,2023-10-17,49000,Budget Shoppers,Nation Wide,Completed,2023-01-01
CMP_239e830b-12c4-4b99-8b93-5a7d02389e90,11.11 Mega Sale,2023-10-24,2023-11-17,49000,All Customers,Nation Wide,Completed,2023-01-01
CMP_5ab8e4e6-99d9-453c-8c6a-b934ad40275b,Holiday Bundle Promotion,2023-11-24,2023-12-17,49000,New Homeowners,Nation Wide,Completed,2023-01-01
CMP_18f87654-aeb2-4992-bc82-7db3fb91178e,New Year Bedroom Refresh,2024-12-24,2025-01-17,49000,All Customers,Nation Wide,Completed,2024-01-01
CMP_2f243680-e1c2-4125-9707-9332cfcb2a53,Valentine Bedding Bundle,2024-01-24,2024-02-17,33000,Couples,Nation Wide,Completed,2024-01-01
CMP_d846d9d8-e298-4264-b21a-bdc9f3f00e16,Summer Mattress Sale,2024-02-24,2024-03-17,33000,Families,Nation Wide,Completed,2024-01-01
CMP_8a26e09f-a3e8-4276-95ee-13a581f55632,Happy Songkran,2024-03-24,2024-04-17,33000,All Customers,Nation Wide,Completed,2024-01-01
CMP_b097318b-064e-4e26-9a9e-2f82c4e9258d,Mid-Year Mega Discount,2024-04-24,2024-05-17,33000,Budget Shoppers,Nation Wide,Completed,2024-01-01
CMP_67d14a81-68b2-4af1-9a80-c8098652e61d,Free Shipping Month,2024-05-24,2024-06-17,66000,Existing Customers,Nation Wide,Completed,2024-01-01
CMP_aa0fd228-31bd-498c-8c79-4beec9b813fe,Rainy Season Bedding Deals,2024-06-24,2024-07-17,66000,Existing Customers,Nation Wide,Completed,2024-01-01
CMP_5d3da4b2-38f4-4641-a1b9-ceacd616be93,Sleep Better Campaign,2024-07-24,2024-08-17,66000,All Customers,Nation Wide,Completed,2024-01-01
CMP_f73236d8-8ce8-4914-aa38-f8c1761eb394,Back to School Home Essentials,2024-08-24,2024-09-17,66000,Students,Nation Wide,Completed,2024-01-01
CMP_3481ae00-b8a3-42b1-abe8-73c24ff7939c,10.10 Flash Sale,2024-09-24,2024-10-17,49000,Budget Shoppers,Nation Wide,Completed,2024-01-01
CMP_f0781573-fde2-46ac-a427-1593cd826f97,11.11 Mega Sale,2024-10-24,2024-11-17,49000,All Customers,Nation Wide,Completed,2024-01-01
CMP_b22a1463-ec5d-4571-bf94-6ffe68a1a3fc,Holiday Bundle Promotion,2024-11-24,2024-12-17,49000,New Homeowners,Nation Wide,Completed,2024-01-01
CMP_8a5d1c4b-cc98-451a-a439-d86498f5a5d7,New Year Bedroom Refresh,2025-12-24,2026-01-17,49000,All Customers,Nation Wide,Completed,2025-01-01
CMP_115c61c0-73d2-47c8-9574-7a112de64209,Valentine Bedding Bundle,2025-01-24,2025-02-17,33000,Couples,Nation Wide,Completed,2025-01-01
CMP_56acd112-a311-445a-8b0a-3770c326d135,Summer Mattress Sale,2025-02-24,2025-03-17,33000,Families,Nation Wide,Completed,2025-01-01
CMP_3076c13b-96e5-4858-93f3-eef42f6a8d8e,Happy Songkran,2025-03-24,2025-04-17,33000,All Customers,Nation Wide,Completed,2025-01-01
CMP_662f369a-d94a-42d7-85a6-9e32c4be2c7f,Mid-Year Mega Discount,2025-04-24,2025-05-17,33000,Budget Shoppers,Nation Wide,Completed,2025-01-01
CMP_a442d18b-176b-44fd-899b-723d09ba5858,Free Shipping Month,2025-05-24,2025-06-17,66000,Existing Customers,Nation Wide,Completed,2025-01-01
CMP_30508d0e-00e6-4560-a624-db3e4e734633,Rainy Season Bedding Deals,2025-06-24,2025-07-17,66000,Existing Customers,Nation Wide,Completed,2025-01-01
CMP_31e638c0-cf96-4202-b68e-bc74de6e3037,Sleep Better Campaign,2025-07-24,2025-08-17,66000,All Customers,Nation Wide,Completed,2025-01-01
CMP_21df41c6-8fc2-4089-b0ea-2a57c90a3dcd,Back to School Home Essentials,2025-08-24,2025-09-17,66000,Students,Nation Wide,Completed,2025-01-01
CMP_98d4835f-763d-4475-a935-5f28513b6eff,10.10 Flash Sale,2025-09-24,2025-10-17,49000,Budget Shoppers,Nation Wide,Completed,2025-01-01
CMP_d1d699cd-d1d7-4cf7-ad2e-6dc211a55d13,11.11 Mega Sale,2025-10-24,2025-11-17,49000,All Customers,Nation Wide,Completed,2025-01-01
CMP_b87f989b-bfc1-4323-af78-8fa334478825,Holiday Bundle Promotion,2025-11-24,2025-12-17,49000,New Homeowners,Nation Wide,Completed,2025-01-01
CMP_f3ad3617-2867-44ae-b15a-5f2556261fca,Valentine Bedding Bundle,2026-01-24,2026-02-17,33000,Couples,Nation Wide,Completed,2026-01-01
CMP_cfd70e82-4fe9-4a11-a470-0f7962024c48,Summer Mattress Sale,2026-02-24,2026-03-17,33000,Families,Nation Wide,Completed,2026-01-01
CMP_82d771fc-09a3-441c-9de0-9fd1f0da6a60,Happy Songkran,2026-03-24,2026-04-17,33000,All Customers,Nation Wide,Completed,2026-01-01
CMP_9ebb6837-6c9f-4f9e-8cf8-8e705a58949d,Mid-Year Mega Discount,2026-04-24,2026-05-17,33000,Budget Shoppers,Nation Wide,Completed,2026-01-01
CMP_9781a84a-027f-43bc-8cdb-aa5c8286aec3,Free Shipping Month,2026-05-24,2026-06-17,66000,Existing Customers,Nation Wide,Active,2026-01-01
